FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2017/neos-555424.mps.gz
SETTINGS:   settings_isopr_minimalindexbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_minimalindexbranching_avoidsubtreenodes__0__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-555424.mps.gz
SEED:       0
@01 /home/mcs001/s132664/testsets/IP/miplib2017/neos-555424.mps.gz ===========
@02 neos-555424.mps.gz
@03 1686559625
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_minimalindexbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE
usebranchfirst = TRUE


solving problem ...

original problem has 3815 variables (3800 bin, 15 int, 0 impl, 0 cont) and 2676 constraints
presolving:
(round 1, fast)       217 del vars, 217 del conss, 0 add conss, 0 chg bounds, 107 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 630 clqs
(round 2, fast)       267 del vars, 217 del conss, 0 add conss, 0 chg bounds, 107 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 630 clqs
(round 3, exhaustive) 267 del vars, 217 del conss, 0 add conss, 0 chg bounds, 107 chg sides, 0 chg coeffs, 1387 upgd conss, 0 impls, 630 clqs
(round 4, medium)     267 del vars, 868 del conss, 2600 add conss, 10 chg bounds, 107 chg sides, 0 chg coeffs, 1387 upgd conss, 0 impls, 3230 clqs
(round 5, fast)       277 del vars, 868 del conss, 2600 add conss, 10 chg bounds, 107 chg sides, 0 chg coeffs, 1387 upgd conss, 0 impls, 3230 clqs
(round 6, exhaustive) 277 del vars, 868 del conss, 2600 add conss, 10 chg bounds, 107 chg sides, 0 chg coeffs, 2297 upgd conss, 0 impls, 3230 clqs
   (0.2s) probing: 491/3530 (13.9%) - 0 fixings, 0 aggregations, 1460 implications, 0 bound changes
   (0.2s) probing aborted: 50/50 successive totally useless probings
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		0.15 	(matrix graph, 14782 nodes, 32420 edges)
Number of generators:			117 	(max: 1500)
Log10 of symmetry group order:		86.8
Number of vars moved by some symmetry:	3530
Total time for symmetry detection:	0.16

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (7 rounds: 7 fast, 4 medium, 3 exhaustive):
 277 deleted vars, 868 deleted constraints, 2600 added constraints, 10 tightened bounds, 0 added holes, 107 changed sides, 0 changed coefficients
 580 implications, 4110 cliques
presolved problem has 3538 variables (3530 bin, 8 int, 0 impl, 0 cont) and 4409 constraints
    106 constraints of type <knapsack>
   3230 constraints of type <setppc>
    162 constraints of type <linear>
    910 constraints of type <logicor>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 100)
Presolving Time: 0.39

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
p 0.5s|     1 |     0 |    85 |     - | vbounds|   0 |   - |3538 |4420 |3538 |4408 |   0 |  11 |   0 | 3.184000e+05 | 4.096800e+06 |1186.68%
  0.5s|     1 |     0 |   175 |     - |    44M |   0 |1088 |3538 |4420 |3538 |4408 |   0 |  11 |   0 | 1.286800e+06 | 4.096800e+06 | 218.37%
  1.1s|     1 |     2 |  2057 |     - |    48M |   0 |1088 |3538 |4420 |3538 |4408 |   0 |  11 |   0 | 1.286800e+06 | 4.096800e+06 | 218.37%
  2.0s|   100 |   101 |  4250 |  42.0 |    49M |  99 | 737 |3538 |4420 |3538 |4408 |   0 |  11 |   0 | 1.286800e+06 | 4.096800e+06 | 218.37%
  2.6s|   200 |   201 |  7005 |  34.7 |    50M | 199 | 452 |3538 |4420 |3538 |4408 |   0 |  11 |   0 | 1.286800e+06 | 4.096800e+06 | 218.37%
L 6.1s|   201 |   202 |  7011 |  34.6 |    rins| 200 | 440 |3538 |4420 |3538 |4408 |   0 |  11 |   0 | 1.286800e+06 | 3.209300e+06 | 149.40%
  6.5s|   300 |   301 |  8428 |  27.9 |    50M | 299 | 251 |3538 |4420 |3538 |4408 |   0 |  11 |   0 | 1.286800e+06 | 3.209300e+06 | 149.40%
  7.2s|   400 |   397 | 12140 |  30.2 |    50M | 383 | 451 |3538 |4433 |3538 |4408 |   0 |  24 |   0 | 1.286800e+06 | 3.209300e+06 | 149.40%
L 8.2s|   401 |   398 | 12143 |  30.1 |    rins| 383 | 448 |3538 |4433 |3538 |4408 |   0 |  24 |   0 | 1.286800e+06 | 2.911800e+06 | 126.28%
  8.6s|   500 |   497 | 13930 |  27.7 |    51M | 383 | 272 |3538 |4433 |3538 |4408 |   0 |  24 |   0 | 1.286800e+06 | 2.911800e+06 | 126.28%
  9.0s|   600 |   591 | 15742 |  26.1 |    52M | 383 | 375 |3538 |4449 |3538 |4408 |   0 |  40 |   0 | 1.286800e+06 | 2.911800e+06 | 126.28%
L 9.2s|   601 |   592 | 15744 |  26.1 |    rins| 383 | 373 |3538 |4449 |3538 |4408 |   0 |  40 |   0 | 1.286800e+06 | 2.601800e+06 | 102.19%
  9.7s|   700 |   689 | 17691 |  25.2 |    52M | 383 |   - |3538 |4449 |   0 |   0 |   0 |  40 |   0 | 1.286800e+06 | 2.601800e+06 | 102.19%
 10.1s|   800 |   779 | 18898 |  23.5 |    52M | 383 | 469 |3538 |4460 |3538 |4408 |   0 |  51 |   0 | 1.286800e+06 | 2.601800e+06 | 102.19%
L11.0s|   801 |   780 | 18983 |  23.6 |crossove| 383 | 508 |3538 |4460 |3538 |4408 |   0 |  51 |   0 | 1.286800e+06 | 2.436800e+06 |  89.37%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 11.5s|   900 |   879 | 20733 |  23.0 |    52M | 383 | 331 |3538 |4460 |3538 |4408 |   0 |  51 |   0 | 1.286800e+06 | 2.436800e+06 |  89.37%
 12.0s|  1000 |   973 | 23506 |  23.4 |    53M | 383 | 456 |3538 |4470 |3538 |4408 |   0 |  61 |   0 | 1.286800e+06 | 2.436800e+06 |  89.37%
L12.9s|  1001 |   974 | 23522 |  23.4 |    rins| 383 | 431 |3538 |4460 |3538 |4408 |   0 |  61 |   0 | 1.286800e+06 | 1.906800e+06 |  48.18%
 13.3s|  1100 |  1073 | 25350 |  23.0 |    55M | 383 | 274 |3538 |4460 |3538 |4408 |   0 |  61 |   0 | 1.286800e+06 | 1.906800e+06 |  48.18%
